VoiceIndexName,sc03,,,,,
,,,,,,
#ID,BG,Char,Name,Message,VoiceID,MotionID
1,1,0,user,カンタビーレに来た私は、フランツにお願いして半ば強引に演奏した。,-1,0
2,1,0,フランツ,あぁ、私弾いちゃったよ……\n今の絶対バレたよね……,0,0
3,1,0,user,いい音色だったね！とても初めてだとは思わなかったわ！,-1,0
4,1,0,フランツ,とりあえず、誰かが来る前に演奏会に逃げよう。\n私怖いよ……,1,0
5,1,0,user,演奏会？もしかして皆そこでこっそり演奏しているの？,-1,0
6,1,0,フランツ,違うよ？演奏会ではギヨーム様の決めた日にジョバンニ\nパレストリーナが私たちに演奏を聞かせてくれるの。,2,0
7,1,0,user,演奏できないのに、演奏を聞かされるなんて……\n……辛くないの？,-1,0
8,1,0,フランツ,辛くなんてないよ？\n私たちは演奏できなくても楽しいから……,3,0
9,1,0,user,私、決めた！\n演奏会に来ている皆で大合奏しよ！,-1,0
10,1,0,フランツ,えぇ、それはダメだよ\n本当に捕まっちゃうよ？,4,1
11,1,0,user,そうだね！,-1,0
12,1,0,user,（でも私がこの場所に来た理由は……\nギヨームからカンタビーレの皆を開放するため……）,-1,0
13,1,0,フランツ,ギヨーム様に逆らうの？,5,1
14,1,0,user,そうなるね、逆らう為にもいっぱい演奏しなきゃね！\nこれからよろしく！フランツ！,-1,0
15,1,0,フランツ,えっ……私も！？,6,2
16,1,0,user,さぁ、私を演奏会に連れて行って！,-1,0
17,0,7,エリック,この世界に来てくれてありがとね\nあなたならギヨームから救ってくれるわよね？,7,-1
18,0,8,エリック,またいつか会いましょう。\nこのカンタビーレで……,8,-1
